Song Title,Performer(s),Places Mentioned in Text,Place Performed/Recorded,Place Published,Date Recorded/ Composed,Collector(s),Source,Source Publication Date,File Name/Location,English Translation,Comments
Corrido de la Gata,,"Zocalo, Mexico City, Mexico; Amacueca, Mexico",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1937-10-10/ed-1/seq-34/ocr/,"October 10, 1937",https://docs.google.com/document/d/1EXl2rXji9M4hm9uc0EC_pDIpsjnwraCxxn7HklcAqLA/edit,,Published in La Opinión
Corrido de la Luz Eléctrica,,"Zocalo, Mexico City, Mexico; Plaza de Santo Domingo, Mexico City, Mexico; Alameda, Mexico City, Mexico; Plateros, Mexico; Plaza de San Juan, Mexico City, Mexico",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1937-10-10/ed-1/seq-34/ocr/,"October 10, 1937",https://docs.google.com/document/d/13FHtJ8G9AXKhzvpfaEm2mfaeMmODTQLSS-IZnebfTXk/edit,,Published in La Opinión
Corrido Popular,,"Guerrero, Mexico",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1937-10-03/ed-1/seq-26/ocr/,"October 30, 1937",https://docs.google.com/document/d/1PLusO0yX9YwLFGYpIN23s7zkE-mcxBUMnqEHpDa66Dg/edit,,Published in La Opinión
Corrido de la China,,"Plaza de San Juan, Mexico City, Mexico",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1937-10-03/ed-1/seq-26/ocr/,"October 30, 1937",https://docs.google.com/document/d/1jZvuF_TQAdfrMZwmDU0RF5RZ9K1StCpgJK9QOImaeNI/edit,,Published in La Opinión
Corrido de la Niña Olga Camacho,,"Tijuana, Mexico; California",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1939-08-06/ed-1/seq-30/ocr/,"August 6, 1939",https://docs.google.com/document/d/12zsWGy_rhDbVQxo92L6r4eH8IsystsS9sw6mgvc1-qM/edit,,Published in La Opinión
La Pochita,,"San Antonio, Texas; Jalisco, Mexico",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1939-08-06/ed-1/seq-30/ocr/,"August 6, 1939",https://docs.google.com/document/d/13-ov5W1lrgOeBQFAMNCMWwf-ABc3zishuu_fur3MUTw/edit,,Published in La Opinión
El Novillo Despuntado,,"Sonora, Mexico",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1936-03-01/ed-1/seq-26/ocr/,"March 1, 1936",https://docs.google.com/document/d/1iXtsvDTm7dhXP-uh5fLLRFpVT_4hDFgMP09XqqScSNc/edit,,Published in La Opinión
No Sabe Igual,,,,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1936-08-09/ed-1/seq-34/ocr/,"August 9, 1936",https://docs.google.com/document/d/1tTHsyEdxGTJLARSquriAaMlER9PvbwaqRdUqqSR5EKI/edit,,Published in La Opinión
Chatita Mia,,,,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1936-10-04/ed-1/seq-36/ocr/,"October 4, 1936",https://docs.google.com/document/d/1h-bF5f154640VlFhBHt5PqKDeP0JvoZanAVC2C_u3Uw/edit,,Published in La Opinión
Corrido de los Trenes Electricos,,"Mexico City, Mexico; Chapultatec, Mexico City, Mexico",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1937-10-24/ed-1/seq-34/ocr/,"October 24, 1937",https://docs.google.com/document/d/1UyLekycmLqGM7_NmPDVFU3shSVjJnMso6-iUxYCXwPI/edit,,Published in La Opinión
Corrido del Estado de Morelos,,"Morelos, Mexico; Zacualpa, Mexico; Atenco, Mexico; Durango, Mexico",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1937-09-26/ed-1/seq-30/ocr/,"September 26, 1937",https://docs.google.com/document/d/1LH182huoIFKAmlY-utDgaVN3MPT74goLkZXIDMKcgAQ/edit,,Published in La Opinión
A la Memoria del Aviador Emilio Carranza,,"San Diego, California; Mexico City, Mexico; Balbuena, Mexico City, Mexico",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1935-12-29/ed-1/seq-14/ocr/,"December 29, 1935",https://docs.google.com/document/d/1C302psuQK-CwL6UgvyO8keaaiRFJCmbAn81lCy4TtZk/edit,,Published in La Opinión
La Mulita,,,,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1936-11-15/ed-1/seq-26/ocr/,"November 15, 1935",https://docs.google.com/document/d/1c_Vy-N6-RmudbRxc2M246hkB-yHRSfwDf-p0U1KOU8g/edit,,Published in La Opinión
